City,Year,Points
Alamogordo,2010,20
Hobbs,2014,150
Los Alamos,2015,4
Clovis,1993,8
Las Cruces,2021,1382
Silver City,1981,384
Brooklyn,1978,4557
New York,1989,38387
New York,1954,43
Brooklyn,2019,37
Bronx,1997,751
New York,2010,6799
Brooklyn,2024,1277
Buffalo,1970,2081
Queens,2005,10789
New York,2024,4519
Brooklyn,2022,28289
New York,1984,16481
Rochester,1988,34
Peekskill,2014,880
New Rochelle,1956,147
Brooklyn,1949,119
Staten Island,2012,894
Harlem,2024,2323
Queens,2002,77
Bronx,2008,219
Hempstead,2009,8488
New York,1951,135
New York,2006,39
New York,1980,3977
New York,1989,2882
Poughkeepsie,1968,608
Long Island City,1966,5550
Rochester,1987,14
Mount Kisco,1995,18
Watertown,2019,569
Syracuse,2014,5706
New York,1949,634
Dobbs Ferry,2009,4941
Fayetteville,2024,50
New York,1954,56
Buffalo,2005,258
Brooklyn,1978,26
Brooklyn,2024,383
Brooklyn,1951,1105
Brooklyn,1975,1141
Cortlandt Manor,2016,16827
Brooklyn,1953,77
Brooklyn,1962,10625
Brooklyn,1959,40
Brooklyn,1955,10
Bayville,1997,7302
Mineola,1947,34
New York,1981,4
New York,2002,4125
Buffalo,2005,108
Bronx,2002,3
Brooklyn,1972,4229
New York,2024,782
Brooklyn,1975,10498
Brooklyn,1973,86
Syracuse,2006,1090
Rochester,2024,2529
Cornwall,1976,128
Queens,1953,92
New York,1993,584
Syracuse,1983,1495
Ogdensburg,1990,422
Buffalo,1976,8683
New York,1982,471
New York,2019,10
Queens Village,2001,2648
Syracuse,2019,192
Buffalo,1953,1591
Albany,2005,111
Staten Island,2024,669
Brooklyn,2024,181
Brooklyn,1986,122
New York,1991,1086
Glendale,1955,20
New York,1970,2904
Queens,2009,3096
Syracuse,1972,281
Brooklyn,1962,4891
Bronx,2000,2454
Brooklyn,1948,239
Brooklyn,2005,37
Staten Island,1953,442
Minoa,1968,8622
New York,1970,16960
New York,1971,2031
Valhalla,1985,3534
Brooklyn,1976,16310
Brooklyn,1998,1411
New York,1974,1287
New York,1977,1008
Brooklyn,1973,2443
New York,1999,3235
New York,1947,14
Westbury,1973,830
Brooklyn,1967,21
New York,1951,17
Queens,2024,2272
Brooklyn,1971,7094
Buffalo,2012,1348
Binghamton,1955,11
Yonkers,1951,494
Rockville Centre,1988,105
Brooklyn,2009,588
Brooklyn,1972,2458
Long Island City,1963,16
Mount Vernon,2024,11000
Brooklyn,1958,132
Cold Spring,1965,400
Brooklyn,1990,3496
Westbury,1976,96
Middletown,2016,241
Queens,2013,224
New York,1988,1802
New York,2001,6265
Far Rockaway,1976,10176
New York,1984,3948
Astoria,1958,148
East Meadow,1987,30026
New York,1950,1031
Brooklyn,1949,155
Binghamton,1953,52
New York,1962,6974
New York,1963,2525
Brooklyn,1955,1042
Queens,1949,240
Queens,1948,277
Brooklyn,1953,1512
New York,1996,10125
Rochester,1983,261
Niagara Falls,2012,1504
Brooklyn,1976,2
Lockwood,2012,4
New York,1949,179
Brooklyn,1947,16
The Bronx,2020,27
Glens Falls,2019,1438
White Plains,2019,7786
Binghamton,1955,2997
Jamaica,2012,508
Brooklyn,1949,476
Brooklyn,2023,17642
Brooklyn,2024,8290
Brooklyn,1948,347
New York,1948,465
Scarsdale,1985,5
North Babylon,2024,7204
New York,1973,384
New York,1966,4636
Brooklyn,1993,5080
Schenectady,1970,4
New York,1970,14676
Staten Island,2024,26
Huntington Station,2005,9895
New York,1949,893
Mount Vernon,1977,155
Rockville Centre,1973,562
Floral Park,2006,585
Queens,2022,4259
New York,1969,618
Islip,2024,14602
New York,1951,405
Brooklyn,1976,11528
Rockville Centre,1971,144
Buffalo,2013,207
New York,2015,5538
New Rochelle,1957,331
Brooklyn,1951,2563
New York,1970,4030
Queens,2017,6611
Brooklyn,1984,3214
Brooklyn,1947,19
New York,2007,28
Bronx,2019,54
Brooklyn,1954,2166
Albany,2024,4920
Poughkeepsie,2022,157
Brooklyn,1987,4380
Jamaica,1989,2328
The Bronx,2024,1717
Harlem,2014,1641
Amsterdam,2024,125
Brooklyn,1975,182
Brooklyn,2004,12489
Brooklyn,1969,2190
Copiague,2014,5863
Brooklyn,2013,408
New York,2024,1108
New York,1980,27
Brooklyn,2018,55
Brooklyn,1990,54
Brooklyn,1986,4214
Brooklyn,1992,11825
Brooklyn,2000,296
Buffalo,1984,41
Mount Vernon,2013,95
Rochester,1984,7
Copiague,1989,244
Brooklyn,1999,21
Brooklyn,2003,32292
Bayside,1976,1906
New York,1953,1594
New York,1948,592
Brooklyn,1947,384
Brooklyn,1975,6049
New York,1959,2
Brooklyn,1947,22
Carmel,2017,981
New York,1949,191
Jamaica,1998,1259
Elmhurst,1960,2434
New York,1980,82
Yonkers,2018,1616
Brooklyn,1992,6470
Brooklyn,1993,19655
New Hyde Park,1969,6
Syracuse,2023,401
Bronx,1982,3640
Schenectady,1970,213
The Bronx,1949,21
Hicksville,1986,5202
Angola,2005,11121
Rochester,2023,548
Queens,2014,345
Buffalo,1984,19248
New York,1962,302
Brooklyn,1969,11507
New York,2021,15
New York,1951,949
New York,1968,894
Brooklyn,1953,463
Brooklyn,1950,799
Bronx,2022,1
Rochester,2003,345
Brooklyn,1973,11575
New York,1949,2
New York,1954,89
Brooklyn,1953,2462
Hudson,2019,23
Buffalo,1974,48
Poughkeepsie,1955,8
Queens,2019,18
New York,1982,916
Brooklyn,1951,124
Brooklyn,1954,12
New York,1949,258
New York,1973,442
New York,2024,607
New York,1947,5
Brooklyn,2024,2814
Brooklyn,2009,16297
Brooklyn,1948,333
New York,1978,269
Liberty,1988,204
Hamburg,1962,227
New York,2004,11644
Richmond,1954,478
Niagara Falls,1950,98
Brooklyn,1960,74
New York,1950,658
Buffalo,1964,2450
New York,1977,160
Mount Vernon,1993,9014
Mount Vernon,1987,224
Bronx,2018,194
New York,1955,757
New York,1974,4
Huntington,1960,5921
Brooklyn,1960,4237
Elmira,1986,5914
New York,1953,3851
New York,1947,244
New Rochelle,1954,1452
Brooklyn,1947,152
Elmsford,2024,11619
Bronx,1997,440
Brooklyn,1972,6161
New York,1954,370
New York,1988,24
Amherst,2022,40
Bronx,1992,609
Queens,2014,210
Long Island,1950,30
Brooklyn,1947,314
New York,2001,17911
Astoria,1976,13017
New York,1955,20
Bronx,1997,40
Brooklyn,1971,1003
New York,2020,5881
Uniondale,1950,1804
Harlem,2024,2
Buffalo,2024,1564
New York,1953,21
Brooklyn,1975,1795
New York,1950,473
New York,1949,537
Queens,2020,2568
Bronx,1996,80
Buffalo,2014,840
Jamaica,2013,12781
Brooklyn,2022,63
Utica,2020,4
Bronx,1983,9898
Jamestown,2022,0
Ithaca,1993,100
New York,2008,2469
North Tarrytown,2022,1552
Brooklyn,1947,121
Brooklyn,2001,15324
Buffalo,1951,804
Queens,1995,0
Rochester,2024,42
Bronx,1997,5378
Brooklyn,2020,9
Bronx,1990,2702
Bronx,1981,4
Brentwood,2024,174
Brooklyn,1949,17
Syracuse,2011,8
Bronx,2007,290
Naples,1954,13
Queens,2000,2167
New York,1981,190
New York,1950,1773
Bronx,1996,106
Brooklyn,1996,4036
Baldwin,2024,128
Brooklyn,2002,30
Rockville Centre,1975,225
Rome,1976,3906
Poughkeepsie,1974,405
New York,1977,6334
Brooklyn,1977,3345
Buffalo,2007,19591
Jamaica,2001,6
New York,1982,5345
New York,2004,4676
Rochester,1989,0
New York,1959,342
Brooklyn,1947,382
The Bronx,1949,709
Long Island,1990,57
Brookhaven,1986,3
Buffalo,1996,1011
Bayshore,1993,5763
White Plains,2024,277
Brooklyn,2000,5228
New York,1973,8766
New York,1972,0
Bronx,1956,11
New York,2003,321
Syracuse,1957,54
Bellerose,1976,802
Syracuse,1999,8780
New York,1964,18438
Kew Gardens,1947,435
Waterloo,1987,57
New York,1980,14837
New York,2002,189
Brooklyn,1988,847
Bronx,2000,4955
New York,1976,6
Brooklyn,1977,198
Bronx,1947,242
New York,1998,61
New York,1979,367
New York,1954,13
Mount Vernon,1980,3082
Queens,1997,9397
Rochester,1995,698
Bellport,1983,16262
New York,2016,53
New York,1954,131
Bronx,1986,10902
Queens,2014,14
Watertown,1947,1
New York,1982,1781
Brooklyn,2022,4738
Rochester,2024,2196
Brooklyn,1998,40
Syracuse,1998,3
New York,2008,73
Bronx,2005,14463
Brooklyn,2006,47
Brooklyn,1949,633
New York,1995,3533
Mount Vernon,1980,2508
New York,1974,2539
Brooklyn,2015,4183
Harlem,2011,2341
Brooklyn,1991,46
Brooklyn,2001,30
Schenectady,2006,54
Brooklyn,2020,2050
Long Island,2012,57
Brooklyn,1975,8114
New York,1969,2
Lockport,1948,78
Brooklyn,2014,4652
Monroe,2017,2
Yonkers,1980,55
Ossining,2024,13
Brooklyn,2024,2241
Brooklyn,1949,997
New York,1950,579
Brooklyn,2012,14
Queens,2016,6808
Long Island City,1977,180
Southampton,1984,4199
The Bronx,2023,14486
Rochester,2004,2901
New York City,1954,2
Brooklyn,1957,6924
Brooklyn,1989,1660
Sunnyside,1997,101
Elmhurst,1948,246
Brooklyn,2018,643
Brooklyn,1970,1339
Brooklyn,1975,17772
Brooklyn,1975,665
Mount Vernon,1987,14093
Rochester,2024,116
New York,1989,1268
Mount Vernon,1987,10158
Buffalo,1983,147
Bronx,2007,1892
Rockaway,1983,10537
Flushing,1978,2553
Southhampton,1982,144
Queensbridge,2017,13058
Bronx,1969,145
Brooklyn,1982,239
New York,1969,65
Queens,2020,19
Bronx,1991,12
New York,1972,545
Brooklyn,1956,7990
Brooklyn,1955,1210
